City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
127,lompoc,34.6391,-120.4579,64.92,59,0,4.61,US,1702143547
128,talavera de la reina,39.9635,-4.8308,54.95,94,100,8.16,ES,1702143547
129,killingly center,41.8387,-71.8692,52.83,81,81,6.73,US,1702143547
130,general acha,-37.377,-64.6043,84.88,12,34,13.69,AR,1702143547
131,haiku-pauwela,20.9219,-156.3051,74.05,77,0,3.44,US,1702143524
132,uturoa,-16.7333,-151.4333,80.82,79,86,15.79,PF,1702143547
133,lerwick,60.1545,-1.1494,44.6,95,100,28.61,GB,1702143547
134,enewetak,11.3474,162.3373,80.82,81,67,15.5,MH,1702143548
135,labytnangi,66.6572,66.4183,-5.22,99,100,1.41,RU,1702143548
136,susuman,62.7833,148.1667,1.98,97,100,1.99,RU,1702143548
137,oyem,1.5995,11.5793,71.26,92,74,0.43,GA,1702143548
138,shingu,33.7333,135.9833,52.99,86,69,5.19,JP,1702143548
139,dalandzadgad,43.5708,104.425,18.41,39,81,4.27,MN,1702143548
140,jequitinhonha,-16.4339,-41.0033,96.42,30,82,4.14,BR,1702143549
141,sampit,-2.5333,112.95,76.3,96,100,2.66,ID,1702143549
142,port mathurin,-19.6833,63.4167,79.57,77,61,11.39,MU,1702143549
143,bakchar,57.0186,82.0711,-11.51,96,100,6.17,RU,1702143549
144,georgetown,5.4112,100.3354,84.13,81,20,4.61,MY,1702143547
145,el porvenir,13.7617,-87.3458,76.33,44,1,6.42,HN,1702143549
146,colonia,50.9333,6.95,48.29,90,75,11.5,DE,1702143549
147,ha tinh,18.3333,105.9,70.72,95,40,2.28,VN,1702143549
148,el jadid,33.2549,-8.506,66.9,75,92,22.37,MA,1702143550
149,alofi,-19.0595,-169.9187,78.69,83,100,10.36,NU,1702143550
150,tazacorte,28.629,-17.9293,76.15,61,0,11.5,ES,1702143550
151,vilyuchinsk,52.9306,158.4028,24.93,95,100,3.76,RU,1702143491
152,skovorodino,53.9833,123.9167,-21.77,91,77,4.25,RU,1702143550
153,puerto madero,14.7208,-92.4215,89.8,70,40,0.0,MX,1702143550
154,vorkuta,67.5,64.0,-11.52,99,100,4.9,RU,1702143550
155,mandalgovi,45.7625,106.2708,4.41,59,30,5.97,MN,1702143550
